Home,Home
About,Over
Trainings,Trainingen
Competitions,Wedstrijden
Events,Evenementen
Join Us,Word lid
Sponsors,Sponsoren
About us,Over ons
Delftsche Dodgers,Delftsche Dodgers
"Welcome to the Delftsche Dodgers! We are an official dodgeball association located in Delft, the Netherlands. Explore the world of dodgeball with us!",Welkom bij de Delftsche dodgers! We zijn een officiële trefbal vereniging gevestigd in Delft in Nederland. Kom gezellig trefballen bij ons!
Training schedule,Trainings
We hold trainings in foam and cloth dodgeball,Trainingen worden gegeven in cloth trefbal en in foam trefbal.
Learn More,Meer informatie
Competitions,Competitie
We participate in the dutch national dodgeball league,Wij doen mee in de Nederlandse nationale trefbal competitie
Events,Evenementen
We organise social activities for our members,Wij organiseren allerlij sociale activiteiten voor onze leden
Want to become a member?,Vragen? Je kunt ons bereiken via:
About the Delftsche Dodgers,Over de Delftsche dodgers:
What is dodgeball?,Wat is trefbal?
"Dodgeball is a sport originally created in Africa more than 200 years ago. While many have experienced basic variations in primary or secondary school, they are frequently unaware it is actually a full-fledged sport with an official set of rules run by a worldwide organization called the World Dodgeball Federation. In its official form, it has two primary variations: foam dodgeball and cloth dodgeball. Although slight rule variations exist between the two, both versions share the same core principles. Two teams face off on a court approximately the size of a volleyball court. The goal is to knock the opposing team out by throwing balls that hit their players or catching the opponents' thrown balls. The first team to knock the other out wins!","Trefbal is een sport die meer dan 200 jaar geleden in Afrika is uitgevonden. Hoewel veel mensen al met trefbal in aanraking komen tijden de basisschool of middelbare school, weten ook veel mensen niet dat het een echte sport is met officiele regels en wereledwijd wordt georganiseerd door de World Dodgeball Federation. In zijn officiele vorm zijn er twee variaties van trefbal: foam trefbal en cloth trefbal. Hoewel er kleine variaties zijn in de regels tussen de twee, is het in principe dezelfde sport. Twee teams strijden tegen elkaar op een veld dat ongeveer even groot is als een volleybalveld. Het doel van het spel is om het andere team af te gooien door ze te raken met de trefballen, of om een door de tegenstander gegooide bal te vangen. Het eerste team dat al de spelers van de tegenstander heeft afgegooit wint!"
Who are the Delftsche Dodgers?,Wie zijn de Delftsche Dodgers?
"The Delftsche Dodgers traces its roots back to Fall 2019 when current President Frank Broy started a group of dodgeball enthusiasts who played casual matches amongst themselves. This grew in popularity and with help from the sports center at TU Delft called ""X"", an official ticket hour was created in Fall 2021 where every week, students could sign up to play dodgeball with Frank as the host. Eventually, a group of regular attendees decided they wanted to take it even further and in Spring 2023, the Delftsche Dodgers was officially founded with the goals of seriously training skills and techniques, participating in the Dutch national league, and helping to popularize the sport and allow more people to partake and enjoy it as much as they do","De Delftsche Dodgers zijn begonnen in het najaar van 2019 toen de huidige voorzitter Frank Broy een groepje enthousiaste trefballers samen bracht om onderling vriendschappelijke wedstrijdjes te spelen. De populariteit hiervoor groeide en met hulp van het sportcentrum van de TU Delft genaamd X, werd er een offcieel ticket uur gestart in het najaar van 2021. Elke week tijdens dit ticket uur kunnen studenten zich inschrijven om te trefballen onder leiding van Frank. Uiteindelijk wilde een groep regulaire ticket uur deelnemers nog een stapje verder gaan en hebben toen de Delftsche Dodgers opgericht in het voorjaar van 2023. Het doel van de vereniging was om serieus te gaan trainen op trefbalvaardigheden en techniek om uiteindelijk deel te nemen in de Nederlands nationale trefbalcompetitie, en om bij te dragen aan het vergroten van de populariteit van de sport."
Frank Broy (President),Frank Broy (President)
"Frank is currently completing a Cybersecurity master's program at TU Delft. He is primarily responsible for external affairs and relations in addition to coaching most of the training sessions. Originally from Luxembourg, he enjoys bouldering, video games, and attending rock and metal concerts.","Frank is op dit moment bezig met zijn Master in Cybersecurity aan de TU Delft. Hij is vooral verantwoordelijk voor het contact met andere trefbalverenigingen en verzorgd ook de meeste trainingen bij de Delftsche Dodgers. Hij komt oorspronkelijk uit Luxemburg, gaat graag boulderen, houd van videogames en vind het leuk om rock en metal concerten te bezoeken."
Dylan Bravo (Vice President),Dylan Bravo (Vice-president)
"Dylan is completing a Master's in Transportation, Infrastructure, and Logistics at TU Delft. He is primarily responsible for internal club affairs and happenings whilst also filling in as a coach for the training sessions when needed. A citizen of the Netherlands, Canada, and the United States, Dylan enjoys playing board games, running 10Ks, and traveling the world.","Dylan is bezig met zijn Master in Transport, infrastructuur en logistiek aan de TU Delft. Hij is verantwoordelijk voor de organisatie binnenin de vereniging en organiseert ook af en toe een trainingssessie. Hij heeft een driedubbele nationaliteit (Nederlands-Canadees-Amerikaans), houd van bordspelletjes, hardlopen en reizen."
Niklas Perujo (Treasurer),Niklas Perujo (Penningmeester)
"Niklas is completing an Aerospace Engineering master's at TU Delft. He is primarily responsible for all financial affairs for the association. German and American, he enjoys listening to music, attending festivals, and spending time with family.","Niklas doet een master in lucht en ruimtevaart aan de TU Delft. Hij is verantwoordelijk voor de financiën van de vereniging. Niklas is Duits-Amerikaans, houd van muziek, festivals bezoeken, en tijd doorbrengen met familie."
Susanne Epema (Secretary),Secretaris
"Susanne is completing a Geomatics master's at TU Delft. She is primarily responsible for documentation and organization of the association's records and files. Fully Dutch, she enjoys playing football, painting, and reading in her spare time.","Susanne doet een master in Geomatics aan de TU Delft. Zij is verantwoordelijk voor documentatie binnen de vereniging. Ze komt uit Nederland, doet ook aan andere sporten zoals voetbal, schildert in haar vrije tijd, en houd van lezen."
Monday,Maandag
Primary training,Training
Wednesday,Woensdag
Foam ticket hour,Foam ticket uur
Note: these are for the time period from November to February and are potentially subject to change depending on hall availability after February.,Opmerking: Deze tijden zijn voor de periode van November tot Februari en kunnen veranderen doordat ze afhankelijk zijn van zaal beschikbaarheid na Februari.
"Our training sessions focus on both improving one's individual dodgeball skills, techniques, and abilities in addition to fostering team coordination, strategies, and playmaking. These sessions typically consist of a starting warm-up exercise followed by drills and exercises before ending with practice matches and a final fun game. The warm-up usually consists of a fun, energetic minigame to get the muscles moving and blood pumping, the drills consist of structured exercises focusing on one core aspect of dodgeball such as throwing, catching, etc., and the matches at the end allow players to practice what they have learned in a game setting. Both foam and cloth dodgeballs are utilized in trainings, so participants can choose their preference for every session, even though the competition itself is only played in cloth. ","Trainingen zijn gefocust op het verbeteren van individuele trefbal vaardigheden, en vaardigheden betreft team coördinatie en strategie. Training sessies beginnen meestal met opwarm oefeningen, waarna er oefeningen worden gedaan. Aan het einde van de training zijn er meestal oefenwedstrijdjes of een leuk eindspel. De warming-up is vaak een actieve minigame om de spieren op te warmen. De oefeningen zijn vaak gefocust op een specifiek aspect van trefbal zoals gooien, vangen en ontwijken. De wedstrijdjes aan het einde zorgen ervoor dat de spelers de vaardigheden in de praktijk kunnen oefenen. Er worden foam en cloth trefballen gebruikt tijdens de training, en leden kunnen zelf beslissen met welke soort ballen ze willen trainen (competitie leden trainen vooral met cloth ballen omdat deze gebruikt worden in de Nederlandse competitie). "
Foam Ticket Hours,Foam ticket uur
"In addition to the association's trainings, X TU Delft also hosts foam dodgeball “ticket hours” every Wednesday from 18:00-19:00 in which participants solely play foam dodgeball matches. All participants for this must have an X-subscription to join. Many Delftsche Dodgers members can be seen participating in these fun weekly sessions. Interested? Sign up via the X TU Delft website which can be found here:","Als aanvulling bij de trainingsuren van de vereniging, is er ook elke Woensdag van 18:00 tot 19:00 een ticket uur op X van de TU Delft. Deelnemers hieraan spelen dan alleen wedstrijdjes met foam ballen. Alle deelnemers hebben een X-lidmaatschap nodig om hieraan mee te doen. Veel van de Delftsche Dodgers leden zijn hier ook iedere week te vinden. Geïnteresseerd? Je kunt je hiervoor inschrijven via de X TU Delft website: "
https://www.tudelft.nl/en/x/whats-on-offer/overview-a-z/dodgeball,https://www.tudelft.nl/x/aanbod/overzicht-a-z/trefbal
Competitions,Competitie
"The Delftsche Dodgers will be participating in its first ever competition season in the 2023-24 year run by Dodgeball Bond Nederland (DBN). Instead of weekly matchups between clubs, there will be four competition days spread out throughout the season (roughly once every 1-2 months) in which all teams converge at one club and play each other. Participation in competitions as part of the Delftsche Dodgers requires a full year or half year competition membership. Not interested in competitions? You can also sign up as a basic member as well! Learn more about the Dutch national dodgeball league at DBN's website: ","De Delftsche Dodgers zullen voor het eerst meedoen aan de nationale competitie in het seizoen 2023-24 dat wordt georganiseerd door de Dodgeball Bond Nederland (DBN). In plaats van wekelijkse wedstrijden tussen trefbalverenigingen, worden er vier competitiedagen verspreid over het hele seizoen gespeeld (ongeveer elke 1-2 maanden) waarbij alle teams naar 1 club zullen afreizen om daar tegen elkaar te spelen. Het meedoen aan de competitie wanneer je lid bent bij de Delftsche Dodgers kan als je een vol of halfjaar competitielidmaatschap hebt. Ben je niet geïnteresseerd in spelen in de competitie? Je kunt ook basislid worden! Meer weten over de Nederlandse competitie? Bezoek de website van de DBN: "
Events,Evenementen
"The Delftsche Dodgers organize social events outside of training sessions for its members. Past events have included glow-in-the-dark minigolf, trampoline dodgeball, and bowling. Additionally, the association also hosts more low-key hangouts which can also be joined by non-members. Check out the documents below to see more information about any upcoming scheduled events and hangouts!","De Delftsche Dodgers organiseren ook allerlei andere activiteiten naast training sessies.  Zulke activiteiten zijn bijvoorbeeld glow-in-the-dark midgetgolf, trampoline trefbal, en bowlen. Ook zijn er activiteiten waar niet-leden aan mee kunnen doen. Meer weten? In de documenten hieronder staat meer informatie over de geplande activiteiten. "
Upcoming events,Geplande activiteiten
Events in October,Events in October
Club Days,Club dagen
